#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_1	3451	3572	-	ColRNAI_1	13-130/130	.=======/======	3/4	90.77	87.70	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_1	9132	9251	-	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_11	536	666	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	3690	4075	-	IncFIA_1	5-388/388	========/======	7/10	97.94	97.18	plasmidfinder	AP001918	IncFIA_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	28823	29506	+	IncFIB(AP001918)_1	1-682/682	========/======	4/4	99.85	97.81	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	86136	86638	+	IncFIC(FII)_1	1-499/499	========/======	6/6	99.80	83.73	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_15	39187	39328	-	IncI1_1_Alpha	1-142/142	===============	0/0	100.00	100.00	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_17	1479	1684	+	Col8282_1	1-205/207	========/======	1/1	99.03	88.83	plasmidfinder	DQ995352	Col8282_1__DQ995352	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_17	6599	6804	+	Col8282_1	1-205/207	========/======	1/1	99.03	88.83	plasmidfinder	DQ995352	Col8282_1__DQ995352	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_19	3391	3521	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_19	7439	7569	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_19	11485	11615	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_20	3070	3224	-	Col156_1	1-154/154	========/======	1/1	100.00	94.19	plasmidfinder	NC_009781	Col156_1__NC_009781	
