#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	11320	13629	-	iutA	1-2280/2280	========/======	14/36	99.87	87.46	vfdb	NP_755498	(iutA) ferric aerobactin receptor precusor IutA [Aerobactin (VF0229)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	13566	14893	-	iucD	1-1323/1338	========/======	8/9	98.73	95.56	vfdb	NP_755499	(iucD) L-lysine 6-monooxygenase IucD [Aerobactin (VF0229)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	14890	16632	-	iucC	1-1743/1743	========/======	5/6	99.83	95.59	vfdb	NP_755500	(iucC) aerobactin siderophore biosynthesis protein IucC [Aerobactin (VF0229)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	16632	17578	-	iucB	1-948/948	========/======	2/3	99.79	95.47	vfdb	NP_755501	(iucB) aerobactin siderophore biosynthesis protein IucB [Aerobactin (VF0229)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_14	17579	19367	-	iucA	1-1788/1788	========/======	9/9	99.78	93.81	vfdb	NP_755502	(iucA) aerobactin siderophore biosynthesis protein IucD [Aerobactin (VF0229)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	84910	86814	+	espL1	1-1899/1899	========/======	8/8	99.95	94.28	vfdb	NP_288154	(espL1) Type III secretion system effector espL1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	332161	333467	-	ybtS	1-1305/1305	========/======	4/4	99.92	99.39	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	333494	334773	-	ybtX	1-1281/1281	========/======	2/3	99.84	99.22	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	334766	336572	-	ybtQ	1-1803/1803	========/======	4/4	100.00	99.22	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	336559	338365	-	ybtP	1-1803/1803	========/======	4/6	99.94	99.11	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	338533	339494	+	ybtA	1-960/960	========/======	2/2	100.00	98.96	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	339686	345806	+	irp2	1-6108/6108	========/======	29/33	99.84	98.53	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	345894	355405	+	irp1	1-9492/9492	========/======	34/38	99.91	99.08	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	355402	356503	+	ybtU	1-1101/1101	========/======	1/1	100.00	99.55	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	356500	357308	+	ybtT	1-804/804	========/======	6/7	99.88	98.03	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	357312	358896	+	ybtE	1-1578/1578	========/======	5/7	100.00	98.99	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_2	359029	361056	+	fyuA	1-2022/2022	========/======	6/6	100.00	99.01	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	133836	135417	+	espX4	1-1581/1581	========/======	5/7	99.81	92.62	vfdb	NP_290672	(espX4) Type III secretion system effector EspX4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	165050	166348	-	espX5	1-1293/1293	========/======	11/12	99.77	94.47	vfdb	NP_290699	(espX5) Type III secretion system effector EspX5 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	297343	297896	-	papX	1-552/552	========/======	2/2	100.00	96.93	vfdb	NP_755457	(papX) PapX protein regulates flagellum synthesis to repress motility [P fimbriae (CVF425)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	536714	537310	+	fimE	1-597/597	===============	0/0	100.00	98.83	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	537739	538343	+	fimA	1-606/606	========/======	3/3	99.67	89.79	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	538410	538949	+	fimI	1-540/540	===============	0/0	100.00	98.15	vfdb	NP_757242	(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	538986	539714	+	fimC	1-726/726	========/======	3/3	100.00	98.49	vfdb	NP_757243	(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	539785	542427	+	fimD	1-2637/2637	========/======	8/8	99.96	97.69	vfdb	NP_757244	(fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	542434	542969	+	fimF	1-534/534	========/======	4/4	99.81	95.90	vfdb	NP_757245	(fimF) FimF protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	542982	543486	+	fimG	1-504/504	========/======	1/1	100.00	97.62	vfdb	NP_757247	(fimG) FimG protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	543497	544412	+	fimH	1-912/912	========/======	4/4	100.00	96.72	vfdb	NP_757248	(fimH) FimH protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	650543	651970	-	espX1	1-1416/1422	========/======	11/12	99.58	93.63	vfdb	NP_285716	(espX1) Type III secretion system effector EspX1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	940787	941549	-	yagV/ecpE	1-754/756	========/======	7/9	99.74	95.02	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	941473	943123	-	yagW/ecpD	1-1644/1644	========/======	8/9	99.94	97.76	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	943113	945645	-	yagX/ecpC	1-2526/2526	========/======	32/45	99.25	95.81	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	945671	946336	-	yagY/ecpB	4-669/669	========/======	8/10	98.80	97.02	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	946401	946989	-	yagZ/ecpA	1-588/588	========/======	1/1	100.00	98.64	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	947064	947652	-	ykgK/ecpR	1-591/591	========/======	4/4	99.49	96.28	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_3	950686	954938	+	fdeC	1-4245/4251	========/======	20/22	99.69	91.74	vfdb	YP_002390132	(fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1:H7 str. S88]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	181918	182749	+	gspC	1-831/831	========/======	1/1	100.00	94.83	vfdb	YP_404599	(gspC) general secretion pathway protein C [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	182989	184845	+	gspD	1-1836/1836	========/======	6/21	100.00	96.82	vfdb	YP_404600	(gspD) general secretion pathway protein D [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	184845	186340	+	gspE	1-1494/1494	========/======	5/6	99.87	95.79	vfdb	YP_404601	(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	186340	187540	+	gspF	1-1200/1200	========/======	3/3	99.92	95.84	vfdb	YP_404602	(gspF) general secretion pathway protein F [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	187581	188039	+	gspG	1-456/456	========/======	3/3	100.00	94.99	vfdb	YP_404603	(gspG) general secretion pathway protein G [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	188076	188609	+	gspH	1-531/531	========/======	3/3	100.00	95.32	vfdb	YP_404604	(gspH) general secretion pathway protein H [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Flye_136x2/Flye_assembly.fasta	contig_5	188606	188978	+	gspI	1-372/372	========/======	3/3	99.73	93.85	vfdb	YP_404605	(gspI) general secretion pathway protein I [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
