#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	10	5255	5374	+	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	11	4715	4919	+	Col8282_1	1-205/207	===============	0/0	99.03	89.27	plasmidfinder	DQ995352	Col8282_1__DQ995352	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	13	458	588	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	14	283	436	-	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	20	708	969	-	Col(MG828)_1	1-262/262	===============	0/0	100.00	91.98	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	22	726	983	-	Col(MG828)_1	1-258/262	===============	0/0	98.47	94.19	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	6	48870	49370	-	IncFIC(FII)_1	1-499/499	========/======	4/4	99.80	84.06	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	6	105852	106533	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	98.53	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	6	131228	131611	+	IncFIA_1	5-388/388	===============	0/0	98.97	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	7	45226	45367	-	IncI1_1_Alpha	1-142/142	===============	0/0	100.00	100.00	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/data/Unicycler_136x2/Unicycler_assembly.fasta	9	5030	5160	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
