#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_104_length_10279_cov_12.890414	3814	4197	-	IncFIA_1	5-388/388	===============	0/0	98.97	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_117_length_6899_cov_339.453826	5585	5715	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_123_length_5708_cov_425.187356	3783	3902	-	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_127_length_5170_cov_401.538582	3379	3583	-	Col8282_1	1-205/207	===============	0/0	99.03	89.27	plasmidfinder	DQ995352	Col8282_1__DQ995352	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_136_length_4095_cov_228.731458	3876	4006	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_140_length_3828_cov_1174.456678	122	275	-	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_141_length_3785_cov_13.479234	1875	2556	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	98.53	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_145_length_2938_cov_13.491786	1396	1896	+	IncFIC(FII)_1	1-499/499	========/======	4/4	99.80	83.86	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_163_length_1661_cov_1517.200126	79	335	+	Col(MG828)_1	2-258/262	===============	0/0	98.09	94.16	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_168_length_1492_cov_3540.217668	218	479	-	Col(MG828)_1	1-262/262	===============	0/0	100.00	91.98	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_209_length_477_cov_2696.795000	217	477	-	Col(MG828)_1	2-262/262	===============	0/0	99.62	94.25	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
/home/mirza/scratch/Genomics_Assignment_3/Assignment3_W25_files/analysis/spades_genome_assembly/scaffolds.fasta	NODE_91_length_14278_cov_10.832688	4196	4337	+	IncI1_1_Alpha	1-142/142	===============	0/0	100.00	100.00	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
